# of Entries,DB Type,Action,Sub-Action Type,Value Type,Time to Complete
5000,MySQL,Search,multi-search,Int,0.005268916999966677
5000,MySQL,Search,find all,Int,0.0005017080000015994
5000,Mongo,Search,single-search,Complex,58.713895958999956
5000,Mongo,Search,multi-search,Complex,0.08687433299996883
5000,Mongo,Search,find all,Complex,4.124999804844265e-06
5000,Redis,Search,single-search,Complex,0.42565879200014933
5000,Redis,Search,multi-search,Complex,1.2125072500000442
5000,Redis,Search,find all,Complex,0.15293795800016596
5000,MySQL,Search,single-search,Complex,0.0033864170000015292
5000,MySQL,Search,multi-search,Complex,0.005851708999898619
5000,MySQL,Search,find all,Complex,0.0009147920000032173
5000,Mongo,Update,,String,26.093469040999935
5000,Redis,Update,,String,0.29226487500000076
5000,MySQL,Update,,String,0.0023782499999924767
5000,Mongo,Update,,Int,30.02141174999997
5000,Redis,Update,,Int,0.273665666999932
5000,MySQL,Update,,Int,0.00284687499993197
5000,Mongo,Update,,Complex,26.49295429200015
5000,Redis,Update,,Complex,0.3191143750000265
5000,MySQL,Update,,Complex,0.005451333000110026
5000,Mongo,Delete,,String,0.23345279199998004
5000,Redis,Delete,,String,0.07702566600005412
5000,MySQL,Delete,,String,0.0013823750000483415
5000,Mongo,Delete,,Int,4.782339958000193
5000,Redis,Delete,,Int,0.07939316699980736
5000,MySQL,Delete,,Int,0.0017416659998161776
5000,Mongo,Delete,,Complex,4.9543480830000135
